band_abbrev,band_copied,date_right_after_band,notes_copied
tyshawn sorey,"""Tyshawn Sorey""",,""""""
u2,"""U2""",,""""""
ub,"""unknown""",,""""""
uc,"""unknown""",,""""""
ufo,"""UFO""",,""""""
ufomammut,"""Ufomammut""",,""""""
uk subs,"""UK Subs""",,""""""
uksubs,"""UK Subs""",,""""""
ulan bator,"""Ulan Bator""",,""""""
ulijonroth,"""Uli Jon Roth""",,""""""
umphreys mcgee,"""Umphrey's McGee""",,""""""
unbenannt,"""notband""",,""""""
uncle tupelo,"""Uncle Tupelo""",,""""""
uncured,"""Uncured""",,""""""
univers zero,"""Univers Zero""",,""""""
unthanks homecoming,"""Unthanks""",,""""""
up-tight,"""Up-Tight""",,""""""
upf,"""unknown""",,""""""
uriah heep,"""Uriah Heep""",,""""""
uriahheep,"""Uriah Heep""",,""""""
ut,"""Uncle Tupelo""",,""""""
uun,"""unknown""",,""""""
v_femmes,"""Violent Femmes""",,""""""
vaboys,"""unknown""",,""""""
"vai, steve","""Steve Vai""",,""""""
valentines,"""The Valentines""",,""""""
van halen,"""Van Halen""",,""""""
van morrison,"""Van Morrison""",,""""""
van william,"""Van William""",,""""""
"van zandt, townes","""Townes Van Zandt""",,""""""
vance joy,"""Vance Joy""",,""""""
vanden plas set,"""Vanden Plas""",,""""""
vanmorrison,"""Van Morrison""",,""""""
vapors,"""The Vapors""",,""""""
vbps,"""unknown""",,""""""
vdead,"""unknown""",,""""""
vega,"""Vega""",,""""""
veils,"""The Veils""",,""""""
vertix,"""Vertix""",,""""""
vh,"""Van Halen""",,""""""
vhf,"""unknown""",,""""""
vic godard,"""Vic Godard""",,""""""
vicchesnutt,"""Vic Chesnutt""",,""""""
vijayiyersextet,"""Vijay Iyer Sextet""",,""""""
vijayiyertrio,"""Vijay Iyer Trio""",,""""""
vincent gallo,"""Vincent Gallo""",,""""""
vines,"""The Vines""",,""""""
vintage trouble,"""Vintage Trouble""",,""""""
vintagecaravan,"""The Vintage Caravan""",,""""""
violentfemmes,"""Violent Femmes""",,""""""
virgin marys,"""Virgin Marys""",,""""""
virginmarys,"""Virgin Marys""",,""""""
visionsofatlantis,"""Visions of Atlantis""",,""""""
viva,"""Viva""",,""""""
vm,"""unknown""",,""""""
voc,"""unknown""",,""""""
volbeat,"""Volbeat""",,""""""
vom,"""unknown""",,""""""
voodoo,"""Voodoo Visionary""",,""""""
voodooaffect,"""Voodoo Visionary""",,""""""
vp,"""unknown""",,""""""
vs,"""unknown""",,""""""
vsop iii,"""VSOP III""",,""""""
vuurkÃ£Â¶ln,"""unknown""",,""""""
vuurmuenchen,"""Vuur""",,""""""
vv,"""unknown""",,""""""
w on,"""unknown""",,""""""
w shorter,"""Wayne Shorter""",,""""""
wa,"""unknown""",,""""""
wailers,"""The Wailers""",,""""""
wakefield,"""Wakefield""",,""""""
wale,"""Wale""",,""""""
"walker, junior","""Junior Walker""",,""""""
walsh,"""Joe Walsh""",,""""""
walter wolfman washington,"""Walter ""Wolfman"" Washington""",,""""""
waltertrout,"""Walter Trout""",,""""""
war,"""War""",,""""""
war on drugs,"""The War On Drugs""",,""""""
warlocks,"""Warlocks""",,""""""
warpaint,"""Warpaint""",,""""""
warren,"""unknown""",,""""""
warren zevon,"""Warren Zevon""",,""""""
warreng,"""Warren G""",,""""""
washed out,"""Washed Out""",,""""""
wasp,"""Wasp""",,""""""
waterboys,"""The Waterboys""",,""""""
waxahatchee,"""Waxahatchee""",,""""""
wayne kramer band,"""Wayne Kramer Band""",,""""""
wayne shorter,"""Wayne Shorter""",,""""""
wayne shorter quartet,"""Wayne Shorter""",,""""""
wayneshorter,"""Wayne Shorter""",,""""""
wayneshorterquartet,"""Wayne Shorter""",,""""""
wayupsouth,"""Way Up South""",,""""""
waywardsons,"""Wayward Sons""",,""""""
wdw,"""unknown""",,""""""
we,"""unknown""",,""""""
we insist,"""We Insist!""",,""""""
weather report and beyond,"""Weather Report And Beyond Reimagined""",,""""""
web,"""unknown""",,""""""
weber-reisch,"""unknown""",,""""""
wedding present,"""The Wedding Present""",,""""""
wedge,"""unknown""",,""""""
weekend warriors,"""Weekend Warriors""",,""""""
weezer,"""Weezer""",,""""""
weir,"""Bob Weir""",,""""""
"weller, paul","""Paul Weller""",,""""""
weltraum,"""Weltraum""",,""""""
wew,"""unknown""",,""""""
wheelerwalkerjr,"""Wheeler Walker, Jr.""",,""""""
where it's at,"""notband""",,""""""
whiskey,"""Whiskey Gentry""",,""""""
whiskey gentry,"""Whiskey Gentry""",,""""""
whiskeygentry,"""Whiskey Gentry""",,""""""
white reaper,"""White Reaper""",,""""""
whitebros,"""White Brothers""",,""""""
whitesnake,"""Whitesnake""",,""""""
whitneyrose,"""Whitney Rose""",,""""""
who,"""The Who""",,""""""
whowoodstock,"""The Who""",,""""""
why,"""Why?""",,""""""
wight,"""Wight""",,""""""
wild reeds,"""Wild Reeds""",,""""""
will,"""unknown""",,""""""
willaim prince,"""William Prince""",,""""""
williamelliottwhitmore,"""William Elliott Whitmore""",,""""""
williamtyler,"""William Tyler""",,""""""
willie nelson,"""Willie Nelson""",,""""""
willienelson,"""Willie Nelson""",,""""""
williewatsonandtheevilcitystringband,"""Willie Watson and the Evil City String Band""",,""""""
willstewart,"""Will Stewart""",,""""""
wings,"""Wings""",,""""""
winter,"""Winter""",,""""""
wintersleep,"""Wintersleep""",,""""""
wire,"""Wire""",,""""""
wire train,"""Wire Train""",,""""""
wishbone ash,"""Wishbone Ash""",,""""""
wishbone.ash,"""Wishbone Ash""",,""""""
wishbone_ash,"""Wishbone Ash""",,""""""
wishboneashaburg,"""Wishbone Ash""",,""""""
wishboneashprogday,"""Wishbone Ash""",,""""""
withered hand,"""Withered Hand""",,""""""
wittr,"""Wolves In The Throne Room""",,""""""
wod,"""unknown""",,""""""
wolf,"""unknown""",,""""""
wolf alice,"""Wolf Alice""",,""""""
wolfeyes,"""Wolf Eyes""",,""""""
wolfsbane,"""Wolfsbane""",,""""""
womenandthedead,"""Women and The Dead""",,""""""
wood,"""unknown""",,""""""
woodbros,"""Wood Brothers""",,""""""
woodbrothers,"""Wood Brothers""",,""""""
woodpigeon,"""Woodpigeon""",,""""""
woody,"""Woody Pines""",,""""""
woodypines,"""Woody Pines""",,""""""
wooten,"""Victor Wooten""",,""""""
wr,"""unknown""",,""""""
wray,"""Link Wray""",,""""""
wretch,"""Wretch""",,""""""
ws,"""unknown""",,""""""
wss,"""unknown""",,""""""
wucan,"""Wucan""",,""""""
ww+nias,"""unknown""",,""""""
wxrt,"""notband""",,""""""
x,"""X""",,""""""
xanderharris,"""Xander Harris""",,""""""
xandriamuenchen,"""Xandria Muenchen""",,""""""
xeb,"""Xeb""",,""""""
xmas,"""Warren Haynes""",,""""""
xmasjam,"""Warren Haynes""",,""""""
xrt,"""notband""",,""""""
xx,"""The xx""",,""""""
y&t,"""Y&T""",,""""""
yaniss odua,"""Yaniss Odua""",,""""""
yardbirds,"""The Yardbirds""",,""""""
yelow,"""unknown""",,""""""
yes,"""Yes""",,""""""
yes featuring anderson rabin wakeman,"""Yes""",,""""""
yesdarling,"""Yes Darling""",,""""""
yesfeatarw,"""Yes""",,""""""
yesfeaturingarw,"""Yes""",,""""""
ylt,"""Yo La Tengo""",,""""""
yngwie,"""Yngwie Malmsteen""",,""""""
yngwie malmsteen,"""Yngwie Malmsteen""",,""""""
yngwiemalmsteen,"""Yngwie Malmsteen""",,""""""
yondermountainstringband,"""Yonder Mountain String Band""",,""""""
yossisassi,"""Yossi Sassi""",,""""""
"young, neil","""Neil Young""",,""""""
yuri gagarin,"""Yuri Gagarin""",,""""""
zakir hussain rahul sharma,"""Zakir Hussain and Rahul Sharma""",,""""""
zakk sabbath,"""Zakk Sabbath""",,""""""
zambigrass,"""ZambiGrass""",,""""""
zambijam,"""ZambiGrass""",,""""""
zbb,"""unknown""",,""""""
zebra,"""Zebra""",,""""""
zen arcade,"""Zen Arcade""",,""""""
zola jesus,"""Zola Jesus""",,""""""
zoom,"""Zoom""",,""""""
zpz,"""Zappa Plays Zappa""",,""""""
zulus,"""The Zulus""",,""""""
zydefunk,"""Zydefunk""",,""""""
zz top,"""ZZ Top""",,""""""
zztop,"""ZZ Top""",,""""""
zztopma,"""ZZ Top""",,""""""
zzz akg ck,"""unknown""",,""""""
